client_id,first_name,last_name,address,phone
1,Nick,Duguid,Esplanadgatan 99,899-400-7174
2,Bradney,Banks,Khult 80,none
3,Bron,Shales,Kopprama 19,565-240-7863
4,Hanna,Doyley,Lguer 92,158-958-5909
5,Ingram,Aggott,Mjattnet 42,820-760-6008
6,Jessamyn,Lowde,4349 Mallard Avenue,747-599-9908
7,Yvonne,Mozzi,tra Fstadsgatan 1,685-453-3100
8,Morgan,Tungay,Trgdsgatan 44,none
9,Rowney,Mereweather,Loftaheden 7,740-231-5013
10,Jaine,Gummary,Stallstigen 92,952-966-8099
11,Johnnie,Harper,Liljerum Grenadjtorpet 58,553-198-9737
12,Kaitlynn,Trimmill,NA,312-541-3315
13,Charlotta,Lydford,Bjkven 85,585-109-2321
14,Wright,Shere,Loftaheden 56,882-380-1099
15,Brandy,McCreath,Sebylund 22,297-157-0816
16,Tudor,Greatrex,Herhogdal 70,909-490-5004
17,Clerissa,Crepel,Bursiljum 74,272-337-1477
18,Dori,Danilovic,Nytorpsven 91,171-553-3026
19,Koren,Rimell,Slbylund 51,103-342-6410
20,Wenonah,Metson,Utveda 77,420-822-3718
